*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=droid
*Date=16:21:40
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;62.6745;-10.7228;0;Bottom;Copper Fill57
2;;;25.908;-19.3334;0;Bottom;Copper Fill20
3;;;12.6492;-39.0057;0;Bottom;Copper Fill99
4;;;18.2967;-44.0402;0;Bottom;Via12
5;;;52.0446;-11.1165;0;Bottom;Copper Fill49
6;;;8.5344;-23.8165;0;Bottom;Copper Fill46
7;;;22.0345;-42.041;0;Bottom;Copper Fill96
8;;;64.0334;-51.6422;0;Bottom;Copper Fill69
9;;;51.2445;-11.8912;0;Bottom;Copper Fill48
10;;;27.1145;-42.041;0;Bottom;Copper Fill101
11;;;12.9486;-55.5391;0;Bottom;TXT1
12;;;8.1788;-44.3397;0;Bottom;Copper Fill95
13;;;43.053;-14.7614;0;Bottom;Copper Fill90
14;;;21.2344;-42.8157;0;Bottom;Copper Fill37
15;;;56.9976;-53.5218;0;Bottom;Copper Fill68
16;;;32.9692;-31.3857;0;Bottom;Copper Fill65
17;;;40.3098;-8.5765;0;Bottom;Copper Fill67
18;;;51.3045;-44.0562;0;Bottom;Via7
19;;;60.1345;-56.4174;0;Bottom;Copper Fill54
20;;;47.498;-9.7576;0;Bottom;Copper Fill27
21;;THT;56.3846;-55.4862;-90;Bottom;J6
22;;;26.3144;-42.8157;0;Bottom;Copper Fill102
23;;;61.4646;-40.2462;0;Bottom;Via6
24;;;46.3804;-25.0738;0;Bottom;Copper Fill84
25;;;46.8884;-43.438;0;Bottom;Copper Fill5
26;;;61.4645;-3.41628;0;Bottom;Via23
27;;;37.2745;-26.7502;0;Bottom;Copper Fill113
28;;;29.6545;-41.9902;0;Bottom;Copper Fill122
29;;;55.0672;-18.673;0;Bottom;Copper Fill24
30;;;47.4345;-53.4202;0;Bottom;Copper Fill105
31;;;23.3426;-11.7642;0;Bottom;Copper Fill25
32;;;5.1308;-49.1657;0;Bottom;Copper Fill94
33;;THT;25.9046;-12.3062;-90;Bottom;IC2
34;;;17.0434;-24.9976;0;Bottom;Copper Fill16
35;;;61.0108;-55.5157;0;Bottom;Copper Fill119
36;;;39.8745;-8.49628;0;Bottom;Via1
37;;;60.1345;-54.6394;0;Bottom;Copper Fill55
38;100nF;100 mil [THT, multilayer];9.39464;-16.1115;-90;Bottom;C6
39;;;12.6492;-39.0057;0;Bottom;Copper Fill39
40;;;6.7945;-50.8548;0;Bottom;Copper Fill34
41;;;29.6545;-43.6666;0;Bottom;Copper Fill121
42;5V;to220-igo;24.6346;-49.4537;0;Bottom;IC1
43;;;46.5836;-54.2457;0;Bottom;Copper Fill106
44;;;15.7446;-40.2462;0;Bottom;Via8
45;;THT;57.6546;-18.6562;180;Bottom;J4
46;;;33.4645;-30.9158;0;Bottom;Copper Fill64
47;;;39.8145;-9.0464;0;Bottom;Copper Fill66
48;;;9.3345;-3.9664;0;Bottom;Copper Fill110
